DQN game 227, Run time: 0.26 seconds, Score: 1, Best: 1, Epsilon: 0.8931
DQN game 228, Run time: 0.20 seconds, Score: 0, Best: 1, Epsilon: 0.8927
DQN game 229, Run time: 0.47 seconds, Score: 0, Best: 1, Epsilon: 0.8922
DQN game 230, Run time: 0.76 seconds, Score: 0, Best: 1, Epsilon: 0.8918
DQN game 231, Run time: 0.31 seconds, Score: 0, Best: 1, Epsilon: 0.8913
DQN game 232, Run time: 0.22 seconds, Score: 0, Best: 1, Epsilon: 0.8909
DQN game 233, Run time: 0.38 seconds, Score: 0, Best: 1, Epsilon: 0.8904
DQN game 234, Run time: 0.20 seconds, Score: 1, Best: 1, Epsilon: 0.8900
DQN game 235, Run time: 0.39 seconds, Score: 0, Best: 1, Epsilon: 0.8896
DQN game 236, Run time: 0.34 seconds, Score: 0, Best: 1, Epsilon: 0.8891
DQN game 237, Run time: 0.51 seconds, Score: 1, Best: 1, Epsilon: 0.8887
DQN game 238, Run time: 0.25 seconds, Score: 0, Best: 1, Epsilon: 0.8882
DQN game 239, Run time: 0.20 seconds, Score: 0, Best: 1, Epsilon: 0.8878
DQN game 240, Run time: 0.53 seconds, Score: 0, Best: 1, Epsilon: 0.8873
DQN game 241, Run time: 0.11 seconds, Score: 1, Best: 1, Epsilon: 0.8869
DQN game 242, Run time: 0.49 seconds, Score: 1, Best: 1, Epsilon: 0.8865
DQN game 243, Run time: 0.26 seconds, Score: 0, Best: 1, Epsilon: 0.8860
DQN game 244, Run time: 0.17 seconds, Score: 0, Best: 1, Epsilon: 0.8856
DQN game 245, Run time: 0.34 seconds, Score: 1, Best: 1, Epsilon: 0.8851
DQN game 246, Run time: 0.08 seconds, Score: 0, Best: 1, Epsilon: 0.8847
DQN game 247, Run time: 0.14 seconds, Score: 0, Best: 1, Epsilon: 0.8842
DQN game 248, Run time: 0.47 seconds, Score: 0, Best: 1, Epsilon: 0.8838
DQN game 249, Run time: 0.10 seconds, Score: 1, Best: 1, Epsilon: 0.8834
DQN game 250, Run time: 0.64 seconds, Score: 0, Best: 1, Epsilon: 0.8829
DQN game 251, Run time: 1.21 seconds, Score: 1, Best: 1, Epsilon: 0.8825
DQN game 252, Run time: 0.46 seconds, Score: 0, Best: 1, Epsilon: 0.8820
DQN game 253, Run time: 0.35 seconds, Score: 0, Best: 1, Epsilon: 0.8816
DQN game 254, Run time: 0.41 seconds, Score: 0, Best: 1, Epsilon: 0.8811
DQN game 255, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.8807
DQN game 256, Run time: 0.27 seconds, Score: 0, Best: 1, Epsilon: 0.8803
DQN game 257, Run time: 0.25 seconds, Score: 0, Best: 1, Epsilon: 0.8798
DQN game 258, Run time: 0.81 seconds, Score: 0, Best: 1, Epsilon: 0.8794
DQN game 259, Run time: 0.57 seconds, Score: 0, Best: 1, Epsilon: 0.8789
DQN game 260, Run time: 1.00 seconds, Score: 1, Best: 1, Epsilon: 0.8785
DQN game 261, Run time: 0.49 seconds, Score: 0, Best: 1, Epsilon: 0.8781
DQN game 262, Run time: 0.42 seconds, Score: 1, Best: 1, Epsilon: 0.8776
DQN game 263, Run time: 0.17 seconds, Score: 0, Best: 1, Epsilon: 0.8772
DQN game 264, Run time: 0.07 seconds, Score: 1, Best: 1, Epsilon: 0.8768
DQN game 265, Run time: 0.60 seconds, Score: 0, Best: 1, Epsilon: 0.8763
DQN game 266, Run time: 0.07 seconds, Score: 1, Best: 1, Epsilon: 0.8759
DQN game 267, Run time: 0.14 seconds, Score: 0, Best: 1, Epsilon: 0.8754
DQN game 268, Run time: 0.30 seconds, Score: 1, Best: 1, Epsilon: 0.8750
DQN game 269, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.8746
DQN game 270, Run time: 0.16 seconds, Score: 0, Best: 1, Epsilon: 0.8741
DQN game 271, Run time: 0.46 seconds, Score: 1, Best: 1, Epsilon: 0.8737
DQN game 272, Run time: 0.12 seconds, Score: 0, Best: 1, Epsilon: 0.8732
DQN game 273, Run time: 1.01 seconds, Score: 1, Best: 1, Epsilon: 0.8728
DQN game 274, Run time: 0.27 seconds, Score: 0, Best: 1, Epsilon: 0.8724
DQN game 275, Run time: 0.37 seconds, Score: 1, Best: 1, Epsilon: 0.8719
DQN game 276, Run time: 0.49 seconds, Score: 0, Best: 1, Epsilon: 0.8715
DQN game 277, Run time: 0.28 seconds, Score: 1, Best: 1, Epsilon: 0.8711
DQN game 278, Run time: 1.11 seconds, Score: 0, Best: 1, Epsilon: 0.8706
DQN game 279, Run time: 0.29 seconds, Score: 0, Best: 1, Epsilon: 0.8702
DQN game 280, Run time: 1.17 seconds, Score: 1, Best: 1, Epsilon: 0.8698
